Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Case studies			Izdebska, Olga	Article	Researchers	2197-1927	info:eu-repo/semantics/openAccess	Transformation Pathways Towards Climate Resilient Cities: A Comparative Analysis of Halle (Saale) and Mannheim, Germany	application/pdf	2022-09-01	eng	This article explores the enabling factors and actors involved in the transformation pathways towards climate resilience of two German cities: Halle (Saale) and Mannheim. A specifically developed analytical framework served as basis for making the complex developments of the transformation paths of the two cities visible and comparable. The analysis has shown that despite strong similarities in terms of climate change impacts, the cities acted under very different political and economic conditions and thus applied particular strategic and tactical approaches and steering instruments. It can be stated that preparation of climate strategies, creation of a supporting central unit for climate issues and exemplary implementation of selected measures by the administration, as well as awareness-raising and cooperation with the stakeholders and citizens have played a key role in the cities' transformation. In both cities, the city administration took the role of innovation organiser and orchestrated the pathway towards becoming climate resilient.	info:eu-repo/semantics/altIdentifier/doi/10.1163/21971927-bja10032		Brill Academic Publishers		com_hcu_13	2023-01-26T14:55:47Z
	Climate resilience- Resilient cities			Knieling, Jörg	doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/845	https://creativecommons.org/licenses/by/4.0/						Triple Helix				col_hcu_15	
	Transformation pathways			Kretschmann, Nancy														open_access	
	Triple Helix			Woyna, Maischa-Katharina														ddc:710	
	Urban climate governance																		
	710: Landschaftsgestaltung, Raumplanung																		
	ddc:710																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Platform urbanism			Mello Rose, Filipe	Article	Researchers	2666-3783	info:eu-repo/semantics/openAccess	The unexpected persistence of non-corporate platforms: The role of local and network embeddedness	application/pdf	2021-10-04	eng	The Covid19-pandemic has accelerated processes in which digital platforms, privileged by their critical size, become central instances of urban life. While most scholars associate platform urbanism with transnational platform corporations, such as Amazon or Facebook, local non-corporate platforms unexpectedly persist despite lacking critical size. This article analyzes processes through which non-corporate platforms are created, maintained, disseminated, and locally implemented; given this type of platform's absence of critical size. We explain the persistence of local non-corporate platforms by drawing on the concept of embeddedness. Embeddedness accounts for non-market-based, i.e. socially and culturally influenced behavior, that shapes economic interactions. We distinguish between network embeddedness, in which organizations maintain permanent and exclusive relationships with one another, and local embeddedness, which combines Hess' (2004) notions of societal embeddedness and territorial embeddedness. This article is empirically grounded on an analysis of two most different ways of creating and maintaining, disseminating, and locally implementing non-corporate platforms: Platform cooperativism and free/libre open-source software-based platforms (FLOSS-based platforms). Two empirical case studies of collaboratively governed Western-European non-corporate platforms, Gebiedonline and Decidim, respectively inform the analysis of platform cooperativism and FLOSS-based platforms. Gebiedonline is a platform cooperative through which neighborhood and theme-specific platforms are created. Decidim is a FLOSS-based platform that is mainly used for civic and political participation processes. We find that governments and civil society stakeholders create non-corporate platform technology by disentangling processes related to the creation, maintenance, and dissemination of platform technology from platform implementation processes. Following platform creation, platform maintenance is embedded in a network. Non-corporate platforms pool cost-intensive technology maintenance, while platform implementation necessarily takes place in a locally embedded manner.	info:eu-repo/semantics/altIdentifier/doi/10.1016/j.diggeo.2021.100020		Elsevier		com_hcu_13	2023-01-26T14:55:47Z
	Non-corporate platforms				doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/846	https://creativecommons.org/licenses/by/4.0/						Digital Geography and Society				col_hcu_15	
	Local embedding																	ddc:004	
	Neighborhood platforms																	open_access	
	Platform cooperativism																		
	Free/libre open-source software																		
	004: Informatik																		
	ddc:004																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Civil society involvement			Mello Rose, Filipe	Article	Researchers	0969-7764	info:eu-repo/semantics/openAccess	Selective inclusion: Civil society involvement in the smart city ecology of Amsterdam	application/pdf	2022-07	eng	Although research on smart cities increasingly acknowledges the involvement of civil society actors, most studies fall short when it comes to clarifying the specific modalities of civil society involvement. By probing into the smart city ecology that has developed around the Amsterdam Smart City-Foundation, we explore not only the extent to which the civil society is part of a smart city ecology but also what role civil society actors hold within this ecology. This article draws on data gathered and analyzed through quantitative and qualitative methods. The qualitative analysis focuses on analyzing the institutional dynamics that shape civil society involvement in Amsterdam’s smart city ecology. The quantitative data are used to unravel the relational dynamics by quantifying collaborative patterns between different types of organizations in Amsterdam’s smart city ecology. Our findings reveal that powerful institutional dynamics, manifested through normative pressures, favor the involvement of socially oriented civil society actors. At the same time, however, relational dynamics that shape the collaborative patterns in the projects of the ecology rather exclude the socially oriented civil society at the benefit of an economically oriented civil society. In other words, while the entire ecology rhetorically adheres to an ethos of pervasive civil society involvement, politically, socially, and civically oriented civil society actors lack inter-organizational collaboration—even in the supposedly inclusive context of Amsterdam.	info:eu-repo/semantics/altIdentifier/doi/10.1177/09697764221092587		Sage		com_hcu_13	2023-01-26T14:55:48Z
	collaboration networks			Thiel, Joachim	doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/847	https://creativecommons.org/licenses/by/4.0/						European Urban and Regional Studies				col_hcu_15	
	economic civil society			Grabher, Gernot														open_access	
	smart city ecology																	ddc:300	
	smart city governance																		
	social civil society																		
	300: Sozialwissenschaften, Soziologie																		
	ddc:300																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	resilience			Hein, Carola	Article	Researchers	0096-1442	info:eu-repo/semantics/openAccess	Resilience and Path Dependence: A Comparative Study of the Port Cities of London, Hamburg, and Philadelphia	application/pdf	2021-01-01	eng	Port spaces, functions, and interests have shaped the growth and development of many cities around the world. At times, different stakeholders—private and public, local, regional, national and global—have collaborated to assure the continuity of port functions in old and new locations and, if the port relocates or if that effort fails, to redevelop former port spaces. Through the lens of port- and city-related urban developments in London, Hamburg, and Philadelphia, this article explores the multiple conditions that are part of port city resilience. It uses historical institutionalism as a theoretical framework for understanding these long-term changes, particularly in institutional and governance dynamics. It shows that the development paths of port and city spaces and the actors who shape them are not always aligned. Through the case of London, it shows a development path that is led by private investment building and relocating a world-class port and administrating it from the city center, while local and national institutions only intervene to balance spatial or social short-comings of the private actors. The case of the city-state Hamburg illustrates the development of shared port-city paths under long-term public leadership that has provided direction for the expanding port as well as for the growing city. In the case of Philadelphia, national interests, the Navy, and private investments played an important role in the creation of port infrastructure and, later, in the largely failed transformation of former port areas into public waterfronts. As shipping elites left the city and new land-based employers emerged, such as the University of Pennsylvania, the port-city path was partly discontinued. The article concludes by pointing to the expected capacity of each of these cities to address future challenges. Awareness of historical practices can help readers understand where current conditions may stand in the way of innovative solutions.	info:eu-repo/semantics/altIdentifier/doi/10.1177/0096144220925098		Sage		com_hcu_13	2023-01-26T14:55:47Z
	path dependence			Schubert, Dirk	doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/848	https://creativecommons.org/licenses/by-nc/4.0/						Journal of Urban History				col_hcu_15	
	historical institutionalism																	open_access	
	port cities																	ddc:710	
	London																		
	Hamburg																		
	Philadelphia																		
	710: Landschaftsgestaltung, Raumplanung																		
	ddc:710																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	entertainment			Just, Alina Laura	Article	Researchers	0096-1442	info:eu-repo/semantics/openAccess	Forgotten Fun: Recollecting the Working-Class Pleasurescape of Hamburg’s East End, 1880s-1950s	application/pdf	2022-01-01	eng	In the early twentieth century, St. Pauli was not the only place in Hamburg to go to have fun. In the city’s East End, a wide range of pubs, clubs, and ballrooms turned working-class quarters into a vibrant pleasurescape. Based on historical-topographic and archival research, this paper explores eastern Hamburg’s forgotten pleasurescape with the aim of drawing attention to pleasure culture as a social driving force and of redressing the balance in the city’s one-sided history of pleasure culture. In the course of the study, the term “pleasurescape” is more clearly nuanced and geo-spatial historical mapping further explored as a tool for urban history.	info:eu-repo/semantics/altIdentifier/doi/10.1177/00961442221089873		Sage		com_hcu_13	2023-01-26T14:44:01Z
	public pleasures				doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/849	https://creativecommons.org/licenses/by-nc/4.0/						Journal of Urban History				col_hcu_15	
