,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
39022.0,16831.0,4218.0,4369.0,25418.0,13680.0,3463.0,3596.0,20739.0,9744.0,3955.0,4377.0,18076.0,3291.0,841.0,984.0,5116.0,5718.0,2076.0,2178.0,9972.0,1329.0,290.0,354.0,1973.0,330.0,154.0,249.0,733.0,927.0,196.0,147.0,1270.0,51850.0,15193.0,16254.0,83297.0,16370.0,4244.0,4319.0,24933.0,13259.0,3396.0,3556.0,20212.0,10193.0,3948.0,4339.0,18480.0,3181.0,829.0,936.0,4946.0,5568.0,1990.0,2151.0,9710.0,1065.0,286.0,340.0,1691.0,368.0,166.0,231.0,764.0,930.0,194.0,155.0,1279.0,50934.0,15054.0,16027.0,82015.0,16532.0,4326.0,4300.0,25158.0,13711.0,3443.0,3554.0,20708.0,10279.0,3538.0,4445.0,18262.0,3270.0,776.0,933.0,4979.0,5586.0,2003.0,2159.0,9747.0,966.0,287.0,331.0,1584.0,395.0,179.0,230.0,803.0,913.0,192.0,155.0,1260.0,51651.0,14743.0,16107.0,82502.0
39052.0,14855.0,4269.0,3803.0,22927.0,13305.0,3321.0,3164.0,19790.0,9210.0,3269.0,4072.0,16551.0,3094.0,768.0,838.0,4700.0,5567.0,1972.0,1932.0,9471.0,1128.0,316.0,304.0,1748.0,300.0,164.0,224.0,688.0,889.0,179.0,120.0,1188.0,48348.0,14258.0,14457.0,77063.0,16408.0,4468.0,4234.0,25110.0,13551.0,3500.0,3467.0,20518.0,10397.0,3428.0,4493.0,18318.0,3193.0,778.0,909.0,4880.0,5696.0,2122.0,2097.0,9916.0,795.0,299.0,318.0,1412.0,388.0,165.0,244.0,797.0,923.0,189.0,128.0,1240.0,51350.0,14949.0,15891.0,82190.0,16721.0,4419.0,4352.0,25491.0,13884.0,3506.0,3595.0,20984.0,10418.0,3590.0,4540.0,18548.0,3287.0,795.0,947.0,5028.0,5608.0,2042.0,2187.0,9838.0,968.0,286.0,336.0,1590.0,394.0,178.0,238.0,810.0,931.0,198.0,159.0,1288.0,52211.0,15012.0,16354.0,83578.0
39083.0,16671.0,4261.0,3497.0,24429.0,12835.0,3312.0,2853.0,19000.0,9575.0,3261.0,3933.0,16769.0,3049.0,803.0,768.0,4620.0,5059.0,2064.0,1806.0,8929.0,761.0,271.0,253.0,1285.0,324.0,140.0,187.0,651.0,915.0,191.0,147.0,1253.0,49189.0,14303.0,13444.0,76936.0,17158.0,4503.0,4417.0,26078.0,14070.0,3528.0,3682.0,21280.0,10616.0,3522.0,4802.0,18939.0,3372.0,807.0,958.0,5137.0,5624.0,2058.0,2187.0,9869.0,928.0,285.0,324.0,1537.0,395.0,174.0,255.0,824.0,930.0,207.0,175.0,1312.0,53094.0,15084.0,16798.0,84977.0,16867.0,4535.0,4408.0,25810.0,14075.0,3565.0,3647.0,21287.0,10587.0,3608.0,4644.0,18839.0,3292.0,827.0,968.0,5088.0,5606.0,2063.0,2232.0,9901.0,952.0,284.0,346.0,1582.0,393.0,173.0,251.0,817.0,949.0,207.0,163.0,1319.0,52722.0,15262.0,16658.0,84642.0
39114.0,16963.0,4396.0,4277.0,25636.0,14325.0,3623.0,3562.0,21510.0,10370.0,3447.0,4404.0,18221.0,3387.0,797.0,954.0,5138.0,5307.0,2037.0,2281.0,9625.0,896.0,253.0,314.0,1463.0,384.0,154.0,233.0,771.0,996.0,205.0,175.0,1376.0,52628.0,14912.0,16200.0,83740.0,16950.0,4511.0,4571.0,26032.0,14825.0,3669.0,3773.0,22268.0,10852.0,3639.0,4690.0,19181.0,3349.0,831.0,1016.0,5195.0,5597.0,2076.0,2427.0,10100.0,1045.0,273.0,358.0,1676.0,404.0,175.0,245.0,824.0,984.0,214.0,182.0,1380.0,54006.0,15387.0,17263.0,86656.0,16993.0,4644.0,4463.0,26100.0,14256.0,3613.0,3696.0,21565.0,10759.0,3597.0,4746.0,19101.0,3278.0,866.0,992.0,5137.0,5600.0,2059.0,2287.0,9947.0,934.0,281.0,357.0,1573.0,394.0,167.0,264.0,825.0,966.0,216.0,166.0,1348.0,53180.0,15444.0,16972.0,85596.0
39142.0,18670.0,5355.0,5082.0,29107.0,15287.0,4035.0,4086.0,23408.0,12225.0,4201.0,5346.0,21772.0,3452.0,993.0,1143.0,5588.0,5704.0,2314.0,2512.0,10530.0,849.0,282.0,402.0,1533.0,507.0,182.0,289.0,978.0,1063.0,227.0,186.0,1476.0,57757.0,17589.0,19046.0,94392.0,17581.0,4682.0,4497.0,26759.0,14724.0,3616.0,3794.0,22135.0,10985.0,3644.0,4861.0,19490.0,3337.0,896.0,1053.0,5286.0,5382.0,2095.0,2295.0,9772.0,905.0,284.0,405.0,1594.0,395.0,160.0,267.0,822.0,991.0,220.0,169.0,1379.0,54300.0,15597.0,17340.0,87237.0,17086.0,4739.0,4519.0,26344.0,14362.0,3661.0,3717.0,21740.0,10867.0,3578.0,4831.0,19276.0,3251.0,902.0,1009.0,5162.0,5597.0,2039.0,2341.0,9977.0,924.0,278.0,367.0,1570.0,395.0,162.0,274.0,831.0,982.0,223.0,167.0,1372.0,53465.0,15581.0,17225.0,86271.0
39173.0,14341.0,4607.0,4297.0,23245.0,11990.0,3334.0,3509.0,18833.0,9170.0,3166.0,4571.0,16907.0,2715.0,937.0,964.0,4616.0,4963.0,1621.0,2117.0,8701.0,614.0,248.0,352.0,1214.0,458.0,146.0,279.0,883.0,858.0,215.0,142.0,1215.0,45109.0,14274.0,16231.0,75614.0,16731.0,5234.0,4604.0,26569.0,14099.0,3838.0,3650.0,21587.0,10624.0,3566.0,4928.0,19118.0,3227.0,1028.0,1024.0,5280.0,5823.0,1923.0,2399.0,10144.0,868.0,283.0,384.0,1535.0,384.0,168.0,311.0,863.0,988.0,253.0,166.0,1407.0,52744.0,16294.0,17465.0,86503.0,17101.0,4823.0,4576.0,26500.0,14384.0,3724.0,3710.0,21818.0,10875.0,3576.0,4904.0,19356.0,3212.0,927.0,1015.0,5155.0,5608.0,2019.0,2381.0,10009.0,923.0,279.0,374.0,1576.0,395.0,159.0,278.0,832.0,994.0,226.0,168.0,1388.0,53493.0,15734.0,17407.0,86634.0
39203.0,16523.0,5127.0,4999.0,26649.0,13996.0,4077.0,4078.0,22151.0,11432.0,3770.0,5226.0,20428.0,3165.0,1004.0,1068.0,5237.0,5350.0,2221.0,2601.0,10172.0,805.0,302.0,480.0,1587.0,491.0,173.0,309.0,973.0,965.0,238.0,197.0,1400.0,52727.0,16912.0,18958.0,88597.0,16704.0,4840.0,4564.0,26108.0,13968.0,3835.0,3695.0,21497.0,11047.0,3538.0,4945.0,19530.0,2914.0,928.0,990.0,4832.0,5524.0,2024.0,2402.0,9950.0,897.0,280.0,369.0,1545.0,395.0,143.0,284.0,821.0,992.0,221.0,170.0,1383.0,52439.0,15808.0,17419.0,85667.0,17032.0,4906.0,4622.0,26560.0,14358.0,3807.0,3684.0,21849.0,10767.0,3606.0,4966.0,19338.0,3168.0,942.0,1013.0,5122.0,5633.0,2015.0,2403.0,10050.0,916.0,286.0,377.0,1579.0,393.0,158.0,277.0,828.0,1002.0,228.0,167.0,1397.0,53268.0,15946.0,17509.0,86723.0
39234.0,20314.0,5842.0,5809.0,31965.0,16441.0,4338.0,4712.0,25491.0,14016.0,4501.0,6480.0,24997.0,3771.0,1093.0,1288.0,6152.0,6565.0,2354.0,3076.0,11995.0,946.0,346.0,458.0,1750.0,537.0,207.0,363.0,1107.0,1178.0,285.0,177.0,1640.0,63768.0,18966.0,22363.0,105097.0,17138.0,4798.0,4650.0,26586.0,14285.0,3657.0,3752.0,21694.0,10765.0,3604.0,4926.0,19295.0,3194.0,932.0,999.0,5124.0,5679.0,1970.0,2408.0,10057.0,937.0,285.0,348.0,1570.0,406.0,152.0,274.0,832.0,1007.0,241.0,140.0,1388.0,53412.0,15638.0,17497.0,86546.0,16912.0,4995.0,4677.0,26585.0,14310.0,3922.0,3675.0,21907.0,10597.0,3662.0,5013.0,19272.0,3134.0,949.0,1014.0,5096.0,5660.0,2031.0,2410.0,10101.0,904.0,298.0,380.0,1582.0,388.0,160.0,273.0,821.0,1004.0,230.0,167.0,1401.0,52910.0,16247.0,17610.0,86766.0
39264.0,17468.0,4660.0,4723.0,26851.0,14427.0,3715.0,3513.0,21655.0,11053.0,3619.0,4928.0,19600.0,3042.0,847.0,982.0,4871.0,5373.0,1920.0,2352.0,9645.0,903.0,271.0,387.0,1561.0,332.0,178.0,229.0,739.0,991.0,186.0,192.0,1369.0,53589.0,15396.0,17306.0,86291.0,17327.0,4900.0,4768.0,26995.0,14381.0,4076.0,3591.0,22048.0,10485.0,3775.0,5174.0,19433.0,3210.0,942.0,1029.0,5181.0,5731.0,2079.0,2429.0,10239.0,1062.0,294.0,401.0,1757.0,361.0,176.0,255.0,792.0,1017.0,182.0,191.0,1390.0,53573.0,16424.0,17838.0,87835.0,16790.0,5094.0,4748.0,26632.0,14273.0,4066.0,3708.0,22047.0,10467.0,3739.0,5068.0,19274.0,3119.0,951.0,1022.0,5093.0,5684.0,2057.0,2411.0,10152.0,899.0,314.0,383.0,1596.0,384.0,163.0,270.0,817.0,1000.0,233.0,171.0,1403.0,52616.0,16617.0,17781.0,87014.0
39295.0,16385.0,5211.0,4953.0,26549.0,14771.0,4510.0,3677.0,22958.0,10202.0,3800.0,5143.0,19145.0,3169.0,944.0,1015.0,5128.0,6093.0,2210.0,2427.0,10730.0,747.0,346.0,388.0,1481.0,378.0,165.0,248.0,791.0,1003.0,254.0,167.0,1424.0,52748.0,17440.0,18018.0,88206.0,16537.0,5321.0,4912.0,26770.0,14559.0,4328.0,3612.0,22499.0,9990.0,3837.0,5064.0,18891.0,3200.0,918.0,1011.0,5129.0,5631.0,2157.0,2402.0,10191.0,689.0,370.0,382.0,1441.0,403.0,171.0,237.0,811.0,993.0,254.0,176.0,1422.0,52003.0,17358.0,17794.0,87154.0,16723.0,5187.0,4838.0,26748.0,14257.0,4223.0,3789.0,22270.0,10436.0,3844.0,5137.0,19417.0,3127.0,956.0,1041.0,5125.0,5705.0,2086.0,2414.0,10204.0,912.0,330.0,388.0,1629.0,381.0,168.0,268.0,816.0,992.0,238.0,179.0,1408.0,52532.0,17033.0,18053.0,87618.0
39326.0,15562.0,4838.0,4546.0,24946.0,13826.0,4119.0,3843.0,21788.0,9567.0,3513.0,4945.0,18025.0,2887.0,851.0,1000.0,4738.0,6085.0,1869.0,2290.0,10244.0,1044.0,294.0,346.0,1684.0,292.0,162.0,270.0,724.0,934.0,228.0,178.0,1340.0,50197.0,15874.0,17418.0,83489.0,16006.0,5376.0,4839.0,26221.0,14379.0,4418.0,4034.0,22831.0,10219.0,3992.0,5342.0,19553.0,3021.0,957.0,1066.0,5044.0,5841.0,2091.0,2390.0,10322.0,934.0,337.0,390.0,1661.0,366.0,169.0,283.0,819.0,980.0,254.0,187.0,1421.0,51747.0,17594.0,18531.0,87872.0,16716.0,5273.0,4933.0,26922.0,14251.0,4372.0,3902.0,22525.0,10500.0,3961.0,5200.0,19661.0,3155.0,967.0,1067.0,5189.0,5713.0,2109.0,2424.0,10246.0,929.0,342.0,396.0,1667.0,380.0,172.0,267.0,819.0,982.0,244.0,186.0,1412.0,52625.0,17441.0,18374.0,88440.0
39356.0,17300.0,5488.0,4768.0,27556.0,14779.0,4373.0,3945.0,23097.0,10065.0,3884.0,4984.0,18933.0,3225.0,1013.0,1091.0,5329.0,5812.0,2124.0,2524.0,10460.0,878.0,409.0,421.0,1708.0,324.0,162.0,295.0,781.0,953.0,295.0,177.0,1425.0,53336.0,17748.0,18205.0,89289.0,16981.0,5539.0,4847.0,27367.0,13976.0,4482.0,3967.0,22425.0,10465.0,4036.0,4937.0,19438.0,3184.0,1050.0,1114.0,5348.0,5527.0,2181.0,2474.0,10183.0,891.0,359.0,444.0,1694.0,379.0,185.0,292.0,856.0,954.0,279.0,182.0,1415.0,52357.0,18109.0,18258.0,88725.0,16779.0,5345.0,5021.0,27144.0,14252.0,4493.0,4020.0,22765.0,10596.0,4058.0,5239.0,19893.0,3194.0,985.0,1094.0,5274.0,5705.0,2128.0,2439.0,10271.0,939.0,350.0,403.0,1692.0,383.0,177.0,269.0,829.0,972.0,250.0,191.0,1413.0,52820.0,17786.0,18676.0,89282.0
39387.0,17060.0,5119.0,5656.0,27835.0,14577.0,4677.0,4390.0,23644.0,10614.0,4093.0,5482.0,20189.0,3322.0,1004.0,1230.0,5556.0,5867.0,2059.0,2509.0,10435.0,1473.0,354.0,398.0,2225.0,328.0,168.0,307.0,803.0,954.0,228.0,212.0,1394.0,54195.0,17702.0,20184.0,92081.0,16898.0,5207.0,5526.0,27631.0,13874.0,4622.0,4400.0,22896.0,11374.0,4077.0,5395.0,20846.0,3229.0,1021.0,1197.0,5447.0,5744.0,2050.0,2456.0,10250.0,1154.0,347.0,389.0,1889.0,370.0,188.0,282.0,841.0,959.0,223.0,211.0,1393.0,53601.0,17735.0,19857.0,91193.0,16869.0,5384.0,5099.0,27351.0,14286.0,4570.0,4126.0,22983.0,10685.0,4128.0,5255.0,20067.0,3235.0,1006.0,1119.0,5361.0,5678.0,2154.0,2468.0,10300.0,941.0,353.0,412.0,1706.0,389.0,185.0,274.0,848.0,964.0,253.0,196.0,1412.0,53047.0,18032.0,18949.0,90029.0
39417.0,15891.0,5019.0,4380.0,25290.0,14445.0,4222.0,3765.0,22432.0,10130.0,4202.0,5225.0,19557.0,3166.0,932.0,980.0,5078.0,5527.0,2014.0,2268.0,9809.0,1307.0,331.0,372.0,2010.0,322.0,160.0,237.0,719.0,934.0,234.0,187.0,1355.0,51722.0,17114.0,17414.0,86250.0,17130.0,5217.0,4854.0,27200.0,14637.0,4454.0,4031.0,23123.0,11109.0,4300.0,5566.0,20976.0,3262.0,934.0,1017.0,5212.0,5749.0,2152.0,2450.0,10351.0,913.0,329.0,388.0,1629.0,421.0,162.0,262.0,845.0,962.0,255.0,202.0,1419.0,54182.0,17803.0,18770.0,90755.0,16945.0,5378.0,5157.0,27480.0,14390.0,4583.0,4210.0,23183.0,10718.0,4153.0,5256.0,20127.0,3271.0,1024.0,1141.0,5436.0,5628.0,2192.0,2514.0,10334.0,937.0,351.0,422.0,1711.0,396.0,198.0,281.0,875.0,957.0,252.0,200.0,1409.0,53242.0,18131.0,19182.0,90555.0
39448.0,16493.0,5095.0,4222.0,25810.0,13283.0,4542.0,3219.0,21044.0,9108.0,3782.0,4082.0,16972.0,3239.0,1059.0,958.0,5256.0,5137.0,2382.0,2131.0,9650.0,765.0,358.0,367.0,1490.0,339.0,194.0,189.0,722.0,931.0,234.0,161.0,1326.0,49295.0,17646.0,15329.0,82270.0,17212.0,5393.0,5277.0,27882.0,14686.0,4680.0,4221.0,23588.0,10157.0,4153.0,5077.0,19387.0,3444.0,1057.0,1210.0,5712.0,5629.0,2299.0,2596.0,10524.0,869.0,366.0,457.0,1692.0,410.0,230.0,251.0,892.0,964.0,248.0,197.0,1409.0,53370.0,18426.0,19288.0,91084.0,16966.0,5353.0,5189.0,27508.0,14561.0,4557.0,4263.0,23381.0,10653.0,4144.0,5247.0,20044.0,3304.0,1035.0,1158.0,5498.0,5570.0,2231.0,2559.0,10361.0,922.0,348.0,434.0,1703.0,401.0,213.0,288.0,902.0,948.0,250.0,203.0,1401.0,53326.0,18131.0,19342.0,90798.0
39479.0,17261.0,5585.0,5009.0,27855.0,14928.0,4657.0,4218.0,23803.0,10045.0,4023.0,4846.0,18914.0,3463.0,1047.0,1097.0,5607.0,5239.0,2165.0,2548.0,9952.0,737.0,345.0,402.0,1484.0,384.0,190.0,302.0,876.0,973.0,265.0,169.0,1407.0,53030.0,18277.0,18591.0,89898.0,16664.0,5468.0,5144.0,27275.0,14656.0,4509.0,4319.0,23484.0,10203.0,4034.0,4955.0,19192.0,3334.0,1056.0,1155.0,5546.0,5259.0,2148.0,2587.0,9994.0,815.0,358.0,438.0,1611.0,385.0,211.0,301.0,898.0,919.0,261.0,163.0,1343.0,52236.0,18046.0,19062.0,89344.0,16902.0,5315.0,5192.0,27409.0,14760.0,4513.0,4292.0,23565.0,10507.0,4107.0,5226.0,19841.0,3330.0,1036.0,1169.0,5534.0,5517.0,2256.0,2584.0,10357.0,897.0,344.0,442.0,1683.0,402.0,227.0,294.0,923.0,936.0,250.0,204.0,1390.0,53252.0,18048.0,19403.0,90703.0
39508.0,17297.0,5453.0,5378.0,28128.0,14285.0,4465.0,4403.0,23153.0,10786.0,4223.0,5222.0,20231.0,3059.0,1078.0,1197.0,5334.0,5537.0,2383.0,2563.0,10483.0,742.0,305.0,423.0,1470.0,497.0,297.0,314.0,1108.0,919.0,221.0,238.0,1378.0,53122.0,18425.0,19738.0,91285.0,16922.0,5251.0,5214.0,27387.0,14927.0,4485.0,4284.0,23697.0,10259.0,3988.0,5200.0,19447.0,3249.0,1066.0,1199.0,5514.0,5564.0,2451.0,2565.0,10580.0,900.0,315.0,444.0,1659.0,410.0,275.0,356.0,1041.0,958.0,231.0,258.0,1447.0,53188.0,18063.0,19521.0,90772.0,16757.0,5248.0,5155.0,27160.0,14913.0,4452.0,4306.0,23671.0,10294.0,4050.0,5190.0,19535.0,3348.0,1024.0,1171.0,5543.0,5479.0,2244.0,2583.0,10306.0,875.0,341.0,445.0,1661.0,399.0,237.0,299.0,934.0,922.0,252.0,201.0,1375.0,52988.0,17847.0,19352.0,90186.0
39539.0,14496.0,4765.0,5228.0,24489.0,13405.0,4008.0,4401.0,21814.0,9816.0,3918.0,5375.0,19109.0,3090.0,1005.0,1198.0,5293.0,4755.0,2130.0,2590.0,9475.0,690.0,334.0,472.0,1496.0,507.0,237.0,305.0,1049.0,880.0,257.0,199.0,1336.0,47639.0,16654.0,19768.0,84061.0,16160.0,5063.0,5140.0,26363.0,14798.0,4226.0,4401.0,23425.0,10654.0,4113.0,5539.0,20306.0,3271.0,1007.0,1186.0,5463.0,5404.0,2228.0,2750.0,10381.0,943.0,357.0,500.0,1800.0,402.0,240.0,288.0,929.0,885.0,260.0,192.0,1337.0,52517.0,17492.0,19997.0,90006.0,16573.0,5134.0,5072.0,26779.0,14944.0,4368.0,4295.0,23607.0,10042.0,3971.0,5140.0,19154.0,3361.0,1004.0,1164.0,5530.0,5452.0,2196.0,2558.0,10206.0,871.0,337.0,441.0,1650.0,392.0,242.0,302.0,936.0,907.0,251.0,197.0,1355.0,52544.0,17504.0,19169.0,89216.0
39569.0,15815.0,5268.0,5251.0,26334.0,15001.0,4277.0,4587.0,23865.0,9655.0,3774.0,5243.0,18672.0,3607.0,996.0,1200.0,5803.0,5272.0,2139.0,2656.0,10067.0,780.0,309.0,496.0,1585.0,449.0,271.0,305.0,1025.0,837.0,245.0,207.0,1289.0,51416.0,17279.0,19945.0,88640.0,16381.0,4999.0,4931.0,26312.0,15139.0,4142.0,4208.0,23490.0,9514.0,3604.0,4954.0,18071.0,3380.0,944.0,1139.0,5463.0,5455.0,2051.0,2476.0,9981.0,855.0,307.0,395.0,1557.0,373.0,231.0,285.0,889.0,867.0,249.0,183.0,1298.0,51963.0,16529.0,18571.0,87062.0,16372.0,4974.0,4965.0,26311.0,14829.0,4267.0,4259.0,23355.0,9761.0,3872.0,5087.0,18719.0,3365.0,980.0,1153.0,5498.0,5423.0,2134.0,2522.0,10079.0,879.0,332.0,432.0,1643.0,384.0,240.0,302.0,927.0,892.0,245.0,190.0,1327.0,51905.0,17043.0,18911.0,87859.0
39600.0,19633.0,6275.0,6119.0,32027.0,16868.0,5373.0,5397.0,27638.0,12473.0,5231.0,6631.0,24335.0,3947.0,1113.0,1508.0,6568.0,6271.0,2430.0,2863.0,11564.0,842.0,414.0,522.0,1778.0,474.0,275.0,379.0,1128.0,1016.0,277.0,210.0,1503.0,61524.0,21388.0,23629.0,106541.0,16603.0,4949.0,4847.0,26399.0,14712.0,4545.0,4226.0,23484.0,9549.0,4105.0,4917.0,18570.0,3526.0,939.0,1123.0,5589.0,5418.0,2019.0,2267.0,9703.0,808.0,332.0,399.0,1540.0,356.0,221.0,281.0,859.0,885.0,242.0,171.0,1298.0,51858.0,17352.0,18232.0,87442.0,16116.0,4787.0,4853.0,25756.0,14577.0,4135.0,4201.0,22912.0,9431.0,3746.0,5037.0,18213.0,3350.0,952.0,1144.0,5446.0,5376.0,2072.0,2491.0,9939.0,885.0,325.0,422.0,1632.0,375.0,234.0,299.0,908.0,878.0,232.0,183.0,1293.0,50989.0,16482.0,18630.0,86100.0
39630.0,16219.0,4205.0,4792.0,25216.0,14492.0,3698.0,4082.0,22272.0,9896.0,3363.0,4704.0,17963.0,3279.0,843.0,1115.0,5237.0,5149.0,1928.0,2503.0,9580.0,780.0,312.0,418.0,1510.0,368.0,248.0,284.0,900.0,885.0,245.0,168.0,1298.0,51068.0,14842.0,18066.0,83976.0,15739.0,4446.0,4818.0,25002.0,14354.0,3834.0,4124.0,22313.0,9129.0,3482.0,4927.0,17538.0,3299.0,900.0,1137.0,5336.0,5355.0,1950.0,2510.0,9815.0,916.0,333.0,409.0,1658.0,392.0,226.0,311.0,929.0,903.0,232.0,172.0,1307.0,50087.0,15403.0,18407.0,83898.0,15789.0,4608.0,4752.0,25148.0,14214.0,3976.0,4127.0,22318.0,9074.0,3592.0,4975.0,17641.0,3311.0,925.0,1142.0,5378.0,5289.0,2020.0,2474.0,9783.0,875.0,317.0,417.0,1609.0,367.0,224.0,296.0,887.0,865.0,217.0,176.0,1258.0,49784.0,15879.0,18358.0,84022.0
39661.0,14384.0,4053.0,4232.0,22669.0,13088.0,3648.0,3839.0,20575.0,7921.0,3120.0,4638.0,15679.0,3139.0,899.0,996.0,5034.0,5431.0,1833.0,2388.0,9652.0,989.0,284.0,407.0,1680.0,325.0,221.0,309.0,855.0,837.0,175.0,168.0,1180.0,46114.0,14233.0,16977.0,77324.0,15219.0,4414.0,4400.0,24032.0,13494.0,3762.0,3988.0,21244.0,8279.0,3422.0,4945.0,16646.0,3240.0,948.0,1100.0,5288.0,5182.0,1950.0,2549.0,9680.0,916.0,314.0,440.0,1671.0,360.0,230.0,307.0,898.0,844.0,186.0,183.0,1213.0,47534.0,15226.0,17913.0,80673.0,15402.0,4467.0,4679.0,24549.0,13798.0,3813.0,4060.0,21672.0,8763.0,3421.0,4901.0,17085.0,3255.0,904.0,1147.0,5306.0,5158.0,1973.0,2471.0,9603.0,852.0,306.0,418.0,1576.0,359.0,214.0,295.0,868.0,854.0,203.0,171.0,1228.0,48443.0,15301.0,18142.0,81886.0
39692.0,15762.0,4144.0,4607.0,24513.0,14023.0,3517.0,3939.0,21479.0,8733.0,3082.0,4882.0,16697.0,3070.0,846.0,1158.0,5074.0,5227.0,1975.0,2477.0,9679.0,934.0,258.0,369.0,1561.0,297.0,196.0,262.0,755.0,819.0,182.0,179.0,1180.0,48865.0,14200.0,17873.0,80938.0,15158.0,4434.0,4590.0,24182.0,13261.0,3667.0,3875.0,20804.0,8805.0,3209.0,4807.0,16822.0,3114.0,903.0,1147.0,5163.0,4899.0,2123.0,2416.0,9438.0,841.0,284.0,388.0,1513.0,355.0,204.0,281.0,839.0,828.0,181.0,166.0,1175.0,47262.0,15006.0,17669.0,79937.0,15019.0,4381.0,4613.0,24012.0,13414.0,3664.0,3986.0,21064.0,8571.0,3265.0,4825.0,16660.0,3183.0,884.0,1147.0,5214.0,5010.0,1926.0,2459.0,9396.0,820.0,293.0,420.0,1533.0,355.0,203.0,295.0,853.0,849.0,194.0,169.0,1211.0,47220.0,14810.0,17913.0,79943.0
